year,fc_geoid,fc_geo_type,census_denom_year,crime_prop_num,crime_viol_num,crime_all_num,population,crime_prop_rt,crime_viol_rt,crime_all_rt
2006,36005009200,tract,2000,58,34,92,4877,11.8925569,6.971498872,18.86405577
2006,36005009400,tract,2000,7,3,10,1600,4.375,1.875,6.25
2006,36005009700,tract,2000,57,102,159,133,428.5714286,766.9172932,1195.488722
2006,36005009800,tract,2000,50,17,67,5538,9.028530155,3.069700253,12.09823041
2006,36005009900,tract,2000,58,39,97,5317,10.908407,7.334963325,18.24337032
2006,36005010200,tract,2000,32,1,33,43,744.1860465,23.25581395,767.4418605
2006,36005010500,tract,2000,16,4,20,439,36.44646925,9.111617312,45.55808656
2006,36005011000,tract,2000,15,8,23,397,37.78337531,20.1511335,57.93450882
2006,36005011501,tract,2000,16,7,23,1256,12.7388535,5.573248408,18.31210191
2006,36005011502,tract,2000,38,48,86,4139,9.180961585,11.59700411,20.77796569
2006,36005011800,tract,2000,22,6,28,5039,4.365945624,1.190712443,5.556658067
2006,36005011900,tract,2000,43,43,86,4793,8.971416649,8.971416649,17.9428333
2006,36005012101,tract,2000,34,20,54,2878,11.81375956,6.949270327,18.76302988
2006,36005012102,tract,2000,9,9,18,1619,5.558987029,5.558987029,11.11797406
2006,36005012300,tract,2000,26,16,42,2919,8.907159986,5.481329222,14.38848921
2006,36005012500,tract,2000,53,31,84,2271,23.33773668,13.65037428,36.98811096
2006,36005012701,tract,2000,25,24,49,2309,10.82719792,10.39411,21.22130793
2006,36005012702,tract,2000,40,41,81,1588,25.18891688,25.8186398,51.00755668
2006,36005012901,tract,2000,53,46,99,2728,19.42815249,16.86217009,36.29032258
2006,36005012902,tract,2000,4,2,6,582,6.872852234,3.436426117,10.30927835
2006,36005013000,tract,2000,6,2,8,1179,5.089058524,1.696352841,6.785411366
2006,36005013100,tract,2000,40,52,92,3519,11.36686559,14.77692526,26.14379085
2006,36005013200,tract,2000,42,11,53,5655,7.427055703,1.945181256,9.372236958
2006,36005013300,tract,2000,16,38,54,6047,2.645940136,6.284107822,8.930047958
2006,36005013500,tract,2000,53,34,87,3126,16.95457454,10.87651951,27.83109405
2006,36005013700,tract,2000,64,58,122,4179,15.31466858,13.8789184,29.19358698
2006,36005013800,tract,2000,26,3,29,1940,13.40206186,1.546391753,14.94845361
2006,36005013900,tract,2000,25,9,34,571,43.78283713,15.76182137,59.54465849
2006,36005014100,tract,2000,50,50,100,2209,22.63467632,22.63467632,45.26935265
2006,36005014300,tract,2000,13,16,29,817,15.91187271,19.58384333,35.49571603
2006,36005014400,tract,2000,22,26,48,5518,3.986951794,4.71185212,8.698803914
2006,36005014500,tract,2000,52,33,85,4878,10.6601066,6.765067651,17.42517425
2006,36005014700,tract,2000,55,69,124,10925,5.034324943,6.315789474,11.35011442
2006,36005014900,tract,2000,37,36,73,3668,10.087241,9.814612868,19.90185387
2006,36005015100,tract,2000,53,57,110,4743,11.17436222,12.01771031,23.19207253
2006,36005015300,tract,2000,35,25,60,2962,11.81634031,8.440243079,20.25658339
2006,36005015400,tract,2000,5,3,8,900,5.555555556,3.333333333,8.888888889
2006,36005015500,tract,2000,31,19,50,2779,11.15509176,6.836991724,17.99208348
2006,36005015600,tract,2000,24,7,31,1459,16.44962303,4.797806717,21.24742975
2006,36005015700,tract,2000,49,29,78,3571,13.7216466,8.120974517,21.84262111
2006,36005015800,tract,2000,11,9,20,1211,9.083402147,7.431874484,16.51527663
2006,36005016000,tract,2000,23,7,30,5196,4.426481909,1.347190146,5.773672055
2006,36005016100,tract,2000,56,51,107,4755,11.77707676,10.72555205,22.50262881
2006,36005016200,tract,2000,10,NA,NA,1719,5.81733566,NA,NA
2006,36005016300,tract,2000,26,28,54,301,86.37873754,93.02325581,179.4019934
2006,36005016400,tract,2000,13,1,14,1212,10.72607261,0.825082508,11.55115512
2006,36005016500,tract,2000,36,35,71,1243,28.96218825,28.15768302,57.11987128
2006,36005016600,tract,2000,115,45,160,2249,51.13383726,20.00889284,71.1427301
2006,36005016700,tract,2000,49,37,86,1822,26.8935236,20.30735456,47.20087816
2006,36005016900,tract,2000,16,20,36,1796,8.908685969,11.13585746,20.04454343
2006,36005017100,tract,2000,3,1,4,3,1000,333.3333333,1333.333333
2006,36005017300,tract,2000,33,54,87,4842,6.815365551,11.15241636,17.96778191
2006,36005017500,tract,2000,31,41,72,6466,4.794308692,6.340859882,11.13516857
2006,36005017700,tract,2000,68,82,150,8119,8.375415692,10.09976598,18.47518167
2006,36005017900,tract,2000,50,55,105,8225,6.079027356,6.686930091,12.76595745
2006,36005018100,tract,2000,49,62,111,8573,5.715618803,7.232007465,12.94762627
2006,36005018300,tract,2000,50,43,93,8377,5.968723887,5.133102543,11.10182643
2006,36005018400,tract,2000,31,5,36,3695,8.389715832,1.353179973,9.742895805
2006,36005018700,tract,2000,48,32,80,33,1454.545455,969.6969697,2424.242424
2006,36005018900,tract,2000,55,40,95,7264,7.571585903,5.50660793,13.07819383
2006,36005019300,tract,2000,32,26,58,5248,6.097560976,4.954268293,11.05182927
2006,36005019400,tract,2000,17,4,21,1666,10.20408163,2.400960384,12.60504202
2006,36005019500,tract,2000,51,57,108,7327,6.960556845,7.779445885,14.74000273
2006,36005019600,tract,2000,45,17,62,499,90.18036072,34.06813627,124.248497
2006,36005019700,tract,2000,50,30,80,7754,6.448284756,3.868970854,10.31725561
2006,36005019800,tract,2000,40,33,73,3772,10.60445387,8.748674443,19.35312831
2006,36005019900,tract,2000,40,32,72,7880,5.076142132,4.060913706,9.137055838
2006,36005020100,tract,2000,24,30,54,3629,6.613392119,8.266740149,14.88013227
2006,36005020200,tract,2000,24,10,34,1824,13.15789474,5.48245614,18.64035088
2006,36005020400,tract,2000,38,6,44,2884,13.17614424,2.080443828,15.25658807
2006,36005020500,tract,2000,41,36,77,9309,4.404339886,3.867225266,8.271565152
2006,36005020601,tract,2000,30,5,35,2375,12.63157895,2.105263158,14.73684211
2006,36005020602,tract,2000,21,15,36,859,24.44703143,17.46216531,41.90919674
2006,36005020800,tract,2000,45,28,73,2165,20.7852194,12.9330254,33.7182448
2006,36005021000,tract,2000,73,34,107,15804,4.619083776,2.151354088,6.770437864
2006,36005021100,tract,2000,29,36,65,4532,6.398940865,7.943512798,14.34245366
2006,36005021200,tract,2000,37,28,65,5232,7.071865443,5.351681957,12.4235474
2006,36005021301,tract,2000,10,12,22,1464,6.830601093,8.196721311,15.0273224
2006,36005021302,tract,2000,41,24,65,3981,10.29891987,6.028636021,16.32755589
2006,36005021400,tract,2000,22,6,28,816,26.96078431,7.352941176,34.31372549
2006,36005021501,tract,2000,25,31,56,3690,6.775067751,8.401084011,15.17615176
2006,36005021502,tract,2000,45,61,106,6726,6.690454951,9.069283378,15.75973833
2006,36005021601,tract,2000,42,35,77,4339,9.679649689,8.066374741,17.74602443
2006,36005021602,tract,2000,51,40,91,5293,9.635367466,7.557150954,17.19251842
2006,36005021701,tract,2000,50,47,97,5051,9.899029895,9.305088101,19.204118
2006,36005021702,tract,2000,11,10,21,467,23.55460385,21.41327623,44.96788009
2006,36005021800,tract,2000,51,33,84,6648,7.671480144,4.963898917,12.63537906
2006,36005021900,tract,2000,22,34,56,1307,16.8324407,26.013772,42.8462127
2006,36005022000,tract,2000,19,13,32,1445,13.14878893,8.996539792,22.14532872
2006,36005022100,tract,2000,86,58,144,8442,10.18715944,6.870409855,17.0575693
2006,36005022300,tract,2000,57,77,134,9682,5.887213386,7.952902293,13.84011568
2006,36005022401,tract,2000,32,14,46,2607,12.27464519,5.370157269,17.64480245
2006,36005022402,tract,2000,60,28,88,7127,8.418689491,3.928721762,12.34741125
2006,36005022500,tract,2000,68,79,147,6926,9.818076812,11.40629512,21.22437193
2006,36005022701,tract,2000,34,34,68,3036,11.19894598,11.19894598,22.39789196
2006,36005022702,tract,2000,15,7,22,1710,8.771929825,4.093567251,12.86549708
2006,36005022703,tract,2000,22,10,32,1585,13.88012618,6.309148265,20.18927445
2006,36005022800,tract,2000,44,14,58,5777,7.616409901,2.42340315,10.03981305
2006,36005022901,tract,2000,32,35,67,6093,5.251928442,5.744296734,10.99622518
2006,36005022902,tract,2000,32,23,55,3112,10.28277635,7.390745501,17.67352185
2006,36005023000,tract,2000,35,23,58,2754,12.70878722,8.351488744,21.06027596
2006,36005023100,tract,2000,15,31,46,1611,9.310986965,19.24270639,28.55369336
2006,36005023200,tract,2000,40,12,52,2333,17.14530647,5.143591942,22.28889841
2006,36005023301,tract,2000,27,41,68,4916,5.492270138,8.340113914,13.83238405
2006,36005023302,tract,2000,18,27,45,3545,5.077574048,7.616361072,12.69393512
2006,36005023400,tract,2000,29,11,40,2220,13.06306306,4.954954955,18.01801802
2006,36005023501,tract,2000,24,15,39,4405,5.448354143,3.405221339,8.853575482
2006,36005023502,tract,2000,40,37,77,5178,7.724990344,7.145616068,14.87060641
2006,36005023600,tract,2000,20,13,33,1873,10.67805659,6.940736786,17.61879338
2006,36005023701,tract,2000,81,77,158,8634,9.381514941,8.918230252,18.29974519
2006,36005023702,tract,2000,24,28,52,1212,19.8019802,23.10231023,42.90429043
2006,36005023900,tract,2000,76,80,156,8094,9.389671362,9.883864591,19.27353595
2006,36005024000,tract,2000,57,26,83,3502,16.27641348,7.424328955,23.70074243
2006,36005024100,tract,2000,46,46,92,5955,7.724601175,7.724601175,15.44920235
2006,36005024200,tract,2000,19,7,26,115,165.2173913,60.86956522,226.0869565
2006,36005024300,tract,2000,35,39,74,5415,6.463527239,7.202216066,13.66574331
2006,36005024400,tract,2000,30,8,38,2083,14.40230437,3.840614498,18.24291887
2006,36005024500,tract,2000,41,42,83,8540,4.800936768,4.918032787,9.718969555
2006,36005024600,tract,2000,19,5,24,2086,9.108341323,2.396931927,11.50527325
2006,36005024700,tract,2000,13,9,22,1807,7.194244604,4.98063088,12.17487548
2006,36005024800,tract,2000,40,19,59,3245,12.32665639,5.855161787,18.18181818
2006,36005024900,tract,2000,2,1,3,144,13.88888889,6.944444444,20.83333333
2006,36005025000,tract,2000,13,NA,NA,2297,5.659555943,NA,NA
2006,36005025100,tract,2000,70,83,153,6639,10.54375659,12.50188281,23.0456394
2006,36005025200,tract,2000,17,1,18,2417,7.033512619,0.413736036,7.447248655
2006,36005025300,tract,2000,24,42,66,6402,3.748828491,6.560449859,10.30927835
2006,36005025400,tract,2000,28,3,31,1886,14.84623542,1.590668081,16.4369035
2006,36005025500,tract,2000,47,35,82,6567,7.156997107,5.329678697,12.4866758
2006,36005025600,tract,2000,19,6,25,1727,11.00173712,3.474232774,14.47596989
2006,36005025700,tract,2000,14,10,24,1635,8.562691131,6.116207951,14.67889908
2006,36005025800,tract,2000,8,9,17,365,21.91780822,24.65753425,46.57534247
2006,36005026100,tract,2000,21,8,29,1517,13.8431114,5.273566249,19.11667765
2006,36005026300,tract,2000,45,40,85,7978,5.640511406,5.013787917,10.65429932
2006,36005026400,tract,2000,39,12,51,4798,8.128386828,2.501042101,10.62942893
2006,36005026500,tract,2000,68,43,111,6724,10.11302796,6.395002974,16.50803093
2006,36005026601,tract,2000,27,2,29,3003,8.991008991,0.666000666,9.657009657
2006,36005026602,tract,2000,44,7,51,5266,8.355488036,1.329282188,9.684770224
2006,36005026700,tract,2000,77,69,146,10953,7.030037433,6.299643933,13.32968137
2006,36005026900,tract,2000,28,14,42,4083,6.85770267,3.428851335,10.286554
2006,36005027101,tract,2000,37,6,43,1385,26.71480144,4.332129964,31.04693141
2006,36005027102,tract,2000,5,7,12,15,333.3333333,466.6666667,800
2006,36005027300,tract,2000,38,30,68,7943,4.784086617,3.776910487,8.560997104
2006,36005027400,tract,2000,38,7,45,8489,4.476381199,0.824596537,5.300977736
2006,36005027600,tract,2000,5,7,12,7,714.2857143,1000,1714.285714
2006,36005027700,tract,2000,31,34,65,5339,5.806330774,6.368233752,12.17456453
2006,36005027900,tract,2000,34,10,44,7182,4.734057366,1.392369813,6.126427179
2006,36005028100,tract,2000,22,5,27,3824,5.753138075,1.307531381,7.060669456
2006,36005028300,tract,2000,40,20,60,1208,33.11258278,16.55629139,49.66887417
2006,36005028400,tract,2000,18,8,26,820,21.95121951,9.756097561,31.70731707
2006,36005028500,tract,2000,46,7,53,3238,14.20630019,2.161828289,16.36812847
2006,36005028600,tract,2000,23,3,26,1268,18.13880126,2.365930599,20.50473186
2006,36005028700,tract,2000,65,23,88,3159,20.57613169,7.280785059,27.85691675
2006,36005028800,tract,2000,28,7,35,3066,9.132420091,2.283105023,11.41552511
2006,36005028900,tract,2000,36,27,63,4283,8.405323371,6.303992529,14.7093159
2006,36005029300,tract,2000,33,8,41,7196,4.585881045,1.111728738,5.697609783
2006,36005029500,tract,2000,41,13,54,4081,10.04655722,3.185493752,13.23205097
2006,36005029600,tract,2000,91,33,124,3801,23.94106814,8.681925809,32.62299395
2006,36005029700,tract,2000,32,3,35,3812,8.394543547,0.786988458,9.181532004
2006,36005030000,tract,2000,45,17,62,5862,7.676560901,2.900034118,10.57659502
2006,36005030100,tract,2000,10,1,11,1510,6.622516556,0.662251656,7.284768212
2006,36005030200,tract,2000,48,16,64,8864,5.415162455,1.805054152,7.220216606
2006,36005030700,tract,2000,42,3,45,8260,5.084745763,0.363196126,5.447941889
2006,36005031000,tract,2000,54,14,68,4284,12.60504202,3.267973856,15.87301587
2006,36005031200,tract,2000,16,7,23,1569,10.19757808,4.461440408,14.65901848
2006,36005031400,tract,2000,13,1,14,2024,6.422924901,0.494071146,6.916996047
2006,36005031600,tract,2000,9,NA,NA,1779,5.059021922,NA,NA
2006,36005031800,tract,2000,10,5,15,1795,5.571030641,2.78551532,8.356545961
2006,36005031900,tract,2000,10,1,11,7,1428.571429,142.8571429,1571.428571
2006,36005032000,tract,2000,15,4,19,2059,7.285089849,1.942690627,9.227780476
2006,36005032200,tract,2000,16,2,18,1144,13.98601399,1.748251748,15.73426573
2006,36005032300,tract,2000,22,2,24,5189,4.239737907,0.385430719,4.625168626
2006,36005032400,tract,2000,40,22,62,2826,14.15428167,7.784854919,21.93913659
2006,36005032800,tract,2000,43,14,57,3937,10.92202184,3.556007112,14.47802896
2006,36005032900,tract,2000,16,3,19,1668,9.592326139,1.798561151,11.39088729
2006,36005033000,tract,2000,41,29,70,5111,8.02191352,5.674036392,13.69594991
2006,36005033200,tract,2000,67,18,85,8089,8.282853258,2.225244159,10.50809742
2006,36005033300,tract,2000,13,NA,NA,435,29.88505747,NA,NA
2006,36005033400,tract,2000,38,30,68,224,169.6428571,133.9285714,303.5714286
2006,36005033600,tract,2000,41,36,77,6138,6.679700228,5.865102639,12.54480287
2006,36005033800,tract,2000,54,27,81,3848,14.03326403,7.016632017,21.04989605
2006,36005033900,tract,2000,5,1,6,1071,4.66853408,0.933706816,5.602240896
2006,36005034000,tract,2000,41,19,60,4360,9.403669725,4.357798165,13.76146789
2006,36005034100,tract,2000,6,1,7,1901,3.156233561,0.526038927,3.682272488
2006,36005034200,tract,2000,14,11,25,1533,9.132420091,7.175472929,16.30789302
2006,36005034300,tract,2000,11,4,15,1570,7.006369427,2.547770701,9.554140127
2006,36005034400,tract,2000,10,6,16,1537,6.506180872,3.903708523,10.40988939
2006,36005034500,tract,2000,21,1,22,3499,6.001714776,0.285795942,6.287510717
2006,36005034600,tract,2000,33,18,51,5109,6.459189665,3.523194363,9.982384028
2006,36005035000,tract,2000,19,22,41,1896,10.02109705,11.60337553,21.62447257
2006,36005035100,tract,2000,17,5,22,3366,5.050505051,1.485442662,6.535947712
2006,36005035200,tract,2000,10,6,16,1864,5.364806867,3.21888412,8.583690987
2006,36005035400,tract,2000,10,4,14,1035,9.661835749,3.8647343,13.52657005
2006,36005035600,tract,2000,16,12,28,2020,7.920792079,5.940594059,13.86138614
2006,36005035800,tract,2000,47,24,71,6917,6.79485326,3.469712303,10.26456556
2006,36005035900,tract,2000,22,23,45,1346,16.34472511,17.08766716,33.43239227
2006,36005036100,tract,2000,33,32,65,6283,5.252268025,5.093108388,10.34537641
