"","year","fc_geoid","fc_geo_type","violation_class","viol"
"167",2012,"306","sba","B",956
"168",2012,"306","sba","C",457
"169",2012,"307","cd","A",965
"170",2012,"307","cd","B",2356
"171",2012,"307","cd","C",823
"172",2012,"307","sba","A",1110
"173",2012,"307","sba","B",2704
"174",2012,"307","sba","C",954
"175",2012,"308","cd","A",1905
"176",2012,"308","cd","B",5974
"177",2012,"308","cd","C",1950
"178",2012,"308","sba","A",2373
"179",2012,"308","sba","B",7236
"180",2012,"308","sba","C",2412
"181",2012,"309","cd","A",1845
"182",2012,"309","cd","B",5235
"183",2012,"309","cd","C",1552
"184",2012,"309","sba","A",2126
"185",2012,"309","sba","B",6303
"186",2012,"309","sba","C",1795
"187",2012,"310","cd","A",400
"188",2012,"310","cd","B",1067
"189",2012,"310","cd","C",313
"190",2012,"310","sba","A",373
"191",2012,"310","sba","B",1031
"192",2012,"310","sba","C",298
"193",2012,"311","cd","A",627
"194",2012,"311","cd","B",1864
"195",2012,"311","cd","C",461
"196",2012,"311","sba","A",631
"197",2012,"311","sba","B",1864
"198",2012,"311","sba","C",458
"199",2012,"312","cd","A",862
"200",2012,"312","cd","B",2321
"201",2012,"312","cd","C",854
"202",2012,"312","sba","A",706
"203",2012,"312","sba","B",1913
"204",2012,"312","sba","C",673
"205",2012,"313","cd","A",308
"206",2012,"313","cd","B",1483
"207",2012,"313","cd","C",1069
"208",2012,"313","sba","A",312
"209",2012,"313","sba","B",1516
"210",2012,"313","sba","C",1103
"211",2012,"314","cd","A",2330
"212",2012,"314","cd","B",6636
"213",2012,"314","cd","C",1925
"214",2012,"314","sba","A",2199
"215",2012,"314","sba","B",6230
"216",2012,"314","sba","C",1860
"217",2012,"315","cd","A",452
"218",2012,"315","cd","B",1529
"219",2012,"315","cd","C",580
"220",2012,"315","sba","A",447
"221",2012,"315","sba","B",1489
"222",2012,"315","sba","C",547
"223",2012,"316","cd","A",959
"224",2012,"316","cd","B",3935
"225",2012,"316","cd","C",1625
"226",2012,"316","sba","A",1458
"227",2012,"316","sba","B",6259
"228",2012,"316","sba","C",2435
"229",2012,"317","cd","A",1772
"230",2012,"317","cd","B",6941
"231",2012,"317","cd","C",2071
"232",2012,"317","sba","A",1230
"233",2012,"317","sba","B",5165
"234",2012,"317","sba","C",1523
"235",2012,"318","cd","A",350
"236",2012,"318","cd","B",1679
"237",2012,"318","cd","C",615
"238",2012,"318","sba","A",349
"239",2012,"318","sba","B",1734
"240",2012,"318","sba","C",628
"241",2012,"36005000200","tract","A",9
"242",2012,"36005000200","tract","B",29
"243",2012,"36005000200","tract","C",12
"244",2012,"36005000400","tract","A",37
"245",2012,"36005000400","tract","B",129
"246",2012,"36005000400","tract","C",28
"247",2012,"36005001600","tract","A",4
"248",2012,"36005001600","tract","B",22
"249",2012,"36005001600","tract","C",5
"250",2012,"36005001900","tract","A",32
"251",2012,"36005001900","tract","B",103
"252",2012,"36005001900","tract","C",60
"253",2012,"36005002000","tract","A",10
"254",2012,"36005002000","tract","B",35
"255",2012,"36005002000","tract","C",13
"256",2012,"36005002500","tract","A",125
"257",2012,"36005002500","tract","B",432
"258",2012,"36005002500","tract","C",104
"259",2012,"36005002701","tract","A",21
"260",2012,"36005002701","tract","B",88
"261",2012,"36005002701","tract","C",30
"262",2012,"36005002702","tract","A",35
"263",2012,"36005002702","tract","B",101
"264",2012,"36005002702","tract","C",20
"265",2012,"36005002800","tract","A",14
"266",2012,"36005002800","tract","B",26
"267",2012,"36005002800","tract","C",3
"268",2012,"36005003100","tract","A",25
"269",2012,"36005003100","tract","B",66
"270",2012,"36005003100","tract","C",10
"271",2012,"36005003300","tract","A",29
"272",2012,"36005003300","tract","B",89
"273",2012,"36005003300","tract","C",17
"274",2012,"36005003500","tract","A",44
"275",2012,"36005003500","tract","B",125
"276",2012,"36005003500","tract","C",61
"277",2012,"36005003800","tract","A",21
"278",2012,"36005003800","tract","B",89
"279",2012,"36005003800","tract","C",14
"280",2012,"36005003900","tract","A",118
"281",2012,"36005003900","tract","B",319
"282",2012,"36005003900","tract","C",89
"283",2012,"36005004001","tract","A",17
"284",2012,"36005004001","tract","B",34
"285",2012,"36005004001","tract","C",14
"286",2012,"36005004100","tract","A",53
"287",2012,"36005004100","tract","B",165
"288",2012,"36005004100","tract","C",55
"289",2012,"36005004200","tract","A",6
"290",2012,"36005004200","tract","B",15
"291",2012,"36005004200","tract","C",4
"292",2012,"36005004300","tract","A",48
"293",2012,"36005004300","tract","B",222
"294",2012,"36005004300","tract","C",136
"295",2012,"36005004400","tract","B",3
"296",2012,"36005004600","tract","A",4
"297",2012,"36005004600","tract","B",30
"298",2012,"36005004600","tract","C",11
"299",2012,"36005004800","tract","A",103
"300",2012,"36005004800","tract","B",313
"301",2012,"36005004800","tract","C",104
"302",2012,"36005005001","tract","A",196
"303",2012,"36005005001","tract","B",692
"304",2012,"36005005001","tract","C",135
"305",2012,"36005005002","tract","A",110
"306",2012,"36005005002","tract","B",342
"307",2012,"36005005002","tract","C",104
"308",2012,"36005005100","tract","A",10
"309",2012,"36005005100","tract","B",34
"310",2012,"36005005100","tract","C",8
"311",2012,"36005005200","tract","A",23
"312",2012,"36005005200","tract","B",91
"313",2012,"36005005200","tract","C",16
"314",2012,"36005005300","tract","A",99
"315",2012,"36005005300","tract","B",298
"316",2012,"36005005300","tract","C",48
"317",2012,"36005005400","tract","A",94
"318",2012,"36005005400","tract","B",366
"319",2012,"36005005400","tract","C",116
"320",2012,"36005005600","tract","A",59
"321",2012,"36005005600","tract","B",157
"322",2012,"36005005600","tract","C",65
"323",2012,"36005005902","tract","A",62
"324",2012,"36005005902","tract","B",129
"325",2012,"36005005902","tract","C",45
"326",2012,"36005006000","tract","A",7
"327",2012,"36005006000","tract","B",24
"328",2012,"36005006000","tract","C",2
"329",2012,"36005006100","tract","A",10
"330",2012,"36005006100","tract","B",22
"331",2012,"36005006100","tract","C",12
"332",2012,"36005006200","tract","A",93
"333",2012,"36005006200","tract","B",250
"334",2012,"36005006200","tract","C",69
"335",2012,"36005006300","tract","A",143
"336",2012,"36005006300","tract","B",345
"337",2012,"36005006300","tract","C",96
"338",2012,"36005006400","tract","A",17
"339",2012,"36005006400","tract","B",64
"340",2012,"36005006400","tract","C",25
"341",2012,"36005006500","tract","A",78
"342",2012,"36005006500","tract","B",254
"343",2012,"36005006500","tract","C",72
"344",2012,"36005006700","tract","A",53
"345",2012,"36005006700","tract","B",174
"346",2012,"36005006700","tract","C",108
"347",2012,"36005006800","tract","A",69
"348",2012,"36005006800","tract","B",165
"349",2012,"36005006800","tract","C",32
"350",2012,"36005006900","tract","A",22
"351",2012,"36005006900","tract","B",93
"352",2012,"36005006900","tract","C",23
"353",2012,"36005007000","tract","A",29
"354",2012,"36005007000","tract","B",108
"355",2012,"36005007000","tract","C",30
"356",2012,"36005007100","tract","A",2
"357",2012,"36005007100","tract","B",5
"358",2012,"36005007100","tract","C",6
"359",2012,"36005007200","tract","A",262
"360",2012,"36005007200","tract","B",939
"361",2012,"36005007200","tract","C",219
"362",2012,"36005007300","tract","A",28
"363",2012,"36005007300","tract","B",62
"364",2012,"36005007300","tract","C",23
"365",2012,"36005007400","tract","A",114
"366",2012,"36005007400","tract","B",499
"367",2012,"36005007400","tract","C",61
"368",2012,"36005007500","tract","A",51
